Summary,Issue key,Issue Type,Status,Project name,Project lead id,Resolution,Created,Updated,Resolved,Log Work
AWS Redis caching functionality,CUS-400,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,None,2021/10/06 08:25,2021/11/23 09:28,2022/05/24 04:12,Working on issue CUS-400;10/Nov/21 11:20 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;28800
Log business events,CUS-398,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,None,2021/10/06 08:23,2021/11/25 13:47,2022/05/24 04:13,Changes need to be merged into master branch;10/Nov/21 11:30 AM;ug:0ba0d714-d553-46f7-8f69-ca11875db37d;18000
Create controller and endpoint,CUS-394,Development Subtask,Done,DE Customer,61c9fde1f3037f006999e4d8,None,2021/10/06 08:17,2022/05/24 04:14,2022/05/24 04:13,
Test auth in Prod and QA,TRT-1583,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/09/07 09:28,2021/09/09 11:33,2021/09/09 11:33,
Auto save user project before user is logged out automatically,TRT-1557,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/08/30 09:43,2021/09/02 07:47,2021/09/02 07:47,
Investigate and implement a way for handling FE constants,TRT-1548,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/08/27 09:39,2021/08/30 09:43,2021/08/30 09:43,
if authenticated stay on landing page (Canvas),TRT-1530,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/08/17 09:05,2021/08/18 08:06,2021/08/18 08:06,
manage user session using express session,TRT-1527,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/08/13 08:49,2021/08/17 09:00,2021/08/17 09:00,
connect FE to refresh endpoint,TRT-1517,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/08/11 09:31,2021/08/13 08:49,2021/08/13 08:49,
create FE popup with count down timer,TRT-1506,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/08/03 08:36,2021/08/11 09:30,2021/08/11 09:30,
unit test,TRT-1501,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/30 06:30,2021/08/23 08:22,2021/08/23 08:22,
setting mongoDb locally,TRT-1488,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/28 08:22,2021/07/28 08:22,2021/07/28 08:22,
implement solution,TRT-1469,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/26 10:58,2021/08/03 09:30,2021/08/03 08:35,
Investigate cause of the error,TRT-1468,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2021/07/26 10:58,2021/07/29 08:59,2021/07/29 08:59,
